Request_ID,Request_Guest,Text_Type,Text_Script,Text_Answer_1,Text_Next_1,Text_Answer_2,Text_Next_2,Success,Fail,Request_Stuff_1,Request_Stuff_2
22,5,2,저희 대모님께서 필요한 핀이 필요합니다. 보석은 역시 루비가 좋겠군요.,잠시 기다려주세요.,-1,지금 재료가 없습니다.,23,24,25,43,59
23,5,3,후회하실 겁니다.,-1,-1,-1,-1,-1,-1,43,59
24,5,4,대모님께서 좋아하시겠군요.,-1,-1,-1,-1,-1,-1,43,59
25,5,5,당신. 밤하늘 조심하십쇼.,-1,-1,-1,-1,-1,-1,43,59
26,6,1,안녕하십니까. 왕국 의뢰를 받고 왔습니다.,무슨 일로 오셨습니까?,27,-1,-1,-1,-1,43,60
27,6,2,이번에 훈장 수여식 때 함께 지급할 루비 브로치를 주문하려 합니다. ,네. 금방 만들어 드리겠습니다.,-1,지금 재료가 없습니다.,28,29,30,43,60
28,6,3,이런. 다른 곳을 찾아봐야겠군요.,-1,-1,-1,-1,-1,-1,43,60
29,6,4,역시 소문대로 괜찮군요.,-1,-1,-1,-1,-1,-1,43,60
30,6,5,제가 주문한게 아닌 것 같은데요?,-1,-1,-1,-1,-1,-1,43,60
31,7,1,여기가 장신구 가게입니까? 마법소재가 들어있는 장신구를 구매하려합니다.,어떤 장신구를 원하십니까?,32,-1,-1,-1,-1,44,55
32,7,2,마나량의 한계를 늘리고 싶습니다. 사파이어 반지 부탁드리겠습니다.,네. 잠시만 기다려주세요,-1,지금 재료가 없습니다.,33,34,35,44,55
33,7,3,마법에 대한 이해를 하고 계시지 않군요.,-1,-1,-1,-1,-1,-1,44,55
34,7,4,마법에 대한 조예가 깊으시군요.,-1,-1,-1,-1,-1,-1,44,55
35,7,5,이건 대체 어떤 마법소재가 들어있는 겁니까?,-1,-1,-1,-1,-1,-1,44,55
36,8,1,안녕하세요 세공사님! 혹시 목걸이 하나 만들어주실 수 있을까요?,네. 어떤 목걸이인가요?,37,-1,-1,-1,-1,44,56
37,8,2,사파이어 목걸이가 소문에 의하면 착용한자에게 마법을 사용할 수 있게 해준다면서요?,네. 금방 만들어 드릴게요.,-1,지금 재료가 없습니다.,38,39,40,44,56
38,8,3,역시 소문이었군요...?,-1,-1,-1,-1,-1,-1,44,56
39,8,4,우와! 감사합니다. 다음은 마법고서다!,-1,-1,-1,-1,-1,-1,44,56
40,8,5,어라…? 이게 사파이어 목걸이인가요?,-1,-1,-1,-1,-1,-1,44,56
41,9,1,반갑습니다. 주문을 하고 싶은데.,어서오세요.,42,-1,-1,-1,-1,44,57
42,9,1,전 고고학자입니다. 이번에 사막에서 고대 유적터가 발견되었다고 해서 긴 여행을 떠나려 합니다.,아하.,43,-1,-1,-1,-1,44,57
43,9,2,식수 관련 문제를 해결하고자 하는데 혹시 사파이어 팔찌정도면 가능할까요?,네. 금방 만들어 드릴게요.,-1,지금 재료가 없습니다.,44,45,46,44,57
44,9,3,다른 곳을 알아보도록 하죠.,-1,-1,-1,-1,-1,-1,44,57
45,9,4,이거면 아무 문제 없겠군요.,-1,-1,-1,-1,-1,-1,44,57
46,9,5,이걸로 물을 만들어 먹으라구요?,-1,-1,-1,-1,-1,-1,44,57
47,10,1,정말 특이한 가게군…,-1,-1,-1,-1,-1,-1,44,57
48,10,1,반갑습니다. 마나가 소진되었을 때 호신용으로 마나를 채워줄 장신구가 필요합니다.,어떤 장신구가 필요하신가요?,49,-1,-1,-1,-1,44,58
49,10,2,사파이어로 만든 음… 귀걸이가 좋겠군요. 잃어버릴 일도 없구요.,네 금방 만들어 드릴게요,-1,지금 재료가 없습니다.,50,51,52,44,58
50,10,3,제가 무리한 부탁을 했습니까?,-1,-1,-1,-1,-1,-1,44,58
51,10,4,감사합니다. 성능도 성능이지만 정말 예쁘군요.,-1,-1,-1,-1,-1,-1,44,58
52,10,5,제 말은 잘 들으셨습니까?,-1,-1,-1,-1,-1,-1,44,58
53,11,1,실례합니다. 여기가 마왕 전속 세공사의 가게가 맞습니까?,맞습니다.,54,-1,-1,-1,-1,44,59
54,11,1,소문은 익히 들었습니다. 안녕하십니까 전 아루카스 왕국의 대마법회에서 왔습니다.,아하 네.,55,-1,-1,-1,-1,44,59
55,11,2,이번에 연회를 열기로하여 장신구가 필요한데 사파이어로 만든 핀을 부탁드려도 될까요?,네 금방 만들어 드릴게요,-1,지금 재료가 없습니다.,56,57,58,44,59
56,11,3,다음에 또 오도록 하겠습니다.,-1,-1,-1,-1,-1,-1,44,59
57,11,4,제가 원한게 이것입니다!,-1,-1,-1,-1,-1,-1,44,59
58,11,5,이게 사파이어 핀인가요?,-1,-1,-1,-1,-1,-1,44,59
59,12,1,안녕하십니까. 보석 세공사 맞습니까?,네 맞습니다.,60,-1,-1,-1,-1,44,60
60,12,1,이번에 졸업생들을 위한 브로치를 만들어야 하는데 준비과정에서 하나를 잃어버렸습니다.,아이고..,61,-1,-1,-1,-1,44,60
61,12,2,그래서 급한대로 여기서 주문을 하려하는데 사파이어 브로치 하나 가능합니까?,네 금방 만들어 드릴게요.,-1,지금 재료가 없습니다.,62,63,64,44,60
62,12,3,이런... 시간이 별로 없는데.,-1,-1,-1,-1,-1,-1,44,60
63,12,4,다행입니다. 요청한 것과 똑같이 생겼군요.,-1,-1,-1,-1,-1,-1,44,60
64,12,5,어… 제가 혹시 잘못 말씀드렸습니까?,-1,-1,-1,-1,-1,-1,44,60
65,13,1,안녕하십니까. 도움을 요청하고 싶어서 왔습니다. 세공사님 맞으시죠?,네 맞습니다.,66,-1,-1,-1,-1,45,55
66,13,2,처방을 받고 교회로 가보았지만 토파즈 반지가 소진했다고 하더라구요 그래서 직접 찾아왔습니다.,네. 금방 만들어 드리겠습니다.,-1,지금 재료가 없습니다.,67,68,69,45,55
67,13,3,아 다른 곳을 알아보도록 하겠습니다.,-1,-1,-1,-1,-1,-1,45,55
68,13,4,오오. 이게 토파즈 반지군요! 바로 착용해보겠습니다.,-1,-1,-1,-1,-1,-1,45,55
69,13,5,어…토파즈반지는 분명 노란색반지 라고 했는데..?,-1,-1,-1,-1,-1,-1,45,55
70,14,1,안녕하세요! 혹시 장사하시나요?,네. 하고 있습니다.,71,-1,-1,-1,-1,45,56
71,14,2,사제학교 졸업식 때 받은 토파즈 목걸이를 잃어버려서요 혹시 같은걸로 주문가능할까요?,금방 해드릴게요.,-1,지금 재료가 없습니다,-1,73,74,45,56
72,14,3,아 시간이 별로 없는데…,-1,-1,-1,-1,-1,-1,45,56
73,14,4,살았다. 정말 감사합니다!,-1,-1,-1,-1,-1,-1,45,56
74,14,5,아…하하…,-1,-1,-1,-1,-1,-1,45,56
75,15,1,안녕하신가요. 혹시 팔찌를 구하고자 하는데 가능하신가요?,네 가능합니다.,76,-1,-1,-1,-1,45,57
76,15,2,"이번에 교회에서 독립한 후 길드에서 모험을 떠나보려고 합니다. 
그에 필요한 토파즈 팔찌가 필요해요.",금방 만들어 드릴게요.,-1,지금 재료가 없습니다.,77,78,79,45,57
77,15,3,다른 곳을 알아볼게요.,-1,-1,-1,-1,-1,-1,45,57
78,15,4,제가 원했던 것이에요!,-1,-1,-1,-1,-1,-1,45,57
79,15,5,(잘못 주신 것 같은데…),-1,-1,-1,-1,-1,-1,45,57
80,16,1,안녕하십니까. 이번에 신성의식에 사용할 장신구를 구매하려고 합니다.,어떤 장신구로 하시겠어요?,81,-1,-1,-1,-1,45,58
81,16,2,토파즈 귀걸이로 부탁드릴게요.,네. 알겠습니다.,-1,지금 재료가 없습니다.,82,83,84,45,58
82,16,3,다음에 오도록 하죠.,-1,-1,-1,-1,-1,-1,45,58
83,16,4,제가 찾던거였습니다.,-1,-1,-1,-1,-1,-1,45,58
84,16,5,이게 토파즈 귀걸이로 보이시나요?,-1,-1,-1,-1,-1,-1,45,58
85,17,1,안녕하세요…,안녕하세요.,86,-1,-1,-1,-1,45,59
86,17,2,혹시 토파즈 핀 만들어 주실 수 있나요…? 쓸데가 있어서요.,네. 금방 드릴게요.,-1,지금 재료가 없습니다.,87,88,89,45,59
87,17,3,아… 안녕히 계세요.,-1,-1,-1,-1,-1,-1,45,59
88,17,4,앗 감사합니다. 이것만 있으면…,-1,-1,-1,-1,-1,-1,45,59
89,17,5,(싸늘한 눈빛으로 당신을 바라본다.),-1,-1,-1,-1,-1,-1,45,59
90,18,1,안녕하십니까. 이번에 루델 마을 지부까지 관리하기로 한 사제입니다.,안녕하세요.,91,-1,-1,-1,-1,45,60
91,18,1,비록 지금은 누추한 복장이지만 안식일에 함께 착용할 브로치가 필요해서 들렀습니다.,아 그렇군요.,92,-1,-1,-1,-1,45,60
92,18,2,신성한 힘이 담긴 토파즈 보석 브로치로 부탁드립니다.,네. 금방 드릴게요.,-1,지금 재료가 없습니다.,93,94,95,45,60
93,18,3,그렇군요...서둘러 다른 곳을 알아봐야겠습니다..,-1,-1,-1,-1,-1,-1,45,60
94,18,4,이 브로치는 이전 브로치보다 더 섬세하고 기품이 있군요.,-1,-1,-1,-1,-1,-1,45,60
95,18,5,제가 분명 토파즈 브로치라고 말씀드리지 않았습니까?,-1,-1,-1,-1,-1,-1,45,60
96,19,1,안녕하세요. 여기가 보석 세공점인가요?,네 맞습니다.,97,-1,-1,-1,-1,46,55
97,19,1,전 보육원 원장님의 부탁을 받고 온 심부름꾼이에요.,그렇군요.,98,-1,-1,-1,-1,46,55
98,19,1,다름이 아니라 전쟁고아가 되어버린 아이 중에 후유증이 있는 아이가 있어서요.,아이고..,99,-1,-1,-1,-1,46,55
99,19,2,그 아이에게 힘이 되고자 에메랄드 반지를 주문하려고 합니다.,네 알겠습니다.,-1,지금 재료가 없습니다.,100,101,102,46,55
100,19,3,아쉽지만 다음에 또 올게요.,-1,-1,-1,-1,-1,-1,46,55
101,19,4,감사합니다! 그 아이에게 도움이 될거에요!,-1,-1,-1,-1,-1,-1,46,55
102,19,5,이건 에메랄드 반지가 아닌 것 같은데요…?,-1,-1,-1,-1,-1,-1,46,55
103,20,1,안녕하세요. 주문제작을 요청하려 하는데요.,네.,104,-1,-1,-1,-1,46,56
104,20,1,"저희 동생은 참전군인으로써 엄청난 공을 세웠어요.
하지만 그에 대한 대가로 외상 후 스트레스 장애를 겪고 있어요.",아이고..,105,-1,-1,-1,-1,46,56
105,20,2,"알아봤더니 에메랄드 보석이 심신안정에 도움을 준다고 하더라구요. 
목걸이로 만들어 주실 수 있을까요?",네 알겠습니다.,-1,지금 재료가 없습니다.,-1,107,108,46,56
106,20,3,다른 곳을 알아보도록 할게요.,-1,-1,-1,-1,-1,-1,46,56
107,20,4,감사합니다! 덕분에 동생도 한시름 놓을 수 있겠어요.,-1,-1,-1,-1,-1,-1,46,56
108,20,5,아픈사람을 희롱하는 취미가 있으신가요?,-1,-1,-1,-1,-1,-1,46,56
109,21,1,안녕하세요. 여기에서 에메랄드 장신구를 구매할 수 있나요?,네. 가능합니다.,110,-1,-1,-1,-1,46,57
110,21,1,제가 요즘 망상증이 심해진 것 같아요. 마음의 안정이 필요할 것 같아요.,아하.,111,-1,-1,-1,-1,46,57
111,21,2,에메랄드 팔찌로 부탁드립니다.,네 금방 드리겠습니다.,-1,지금 재료가 없습니다.,112,113,114,46,57
112,21,3,다른 곳을 알아봐야겠군요.,-1,-1,-1,-1,-1,-1,46,57
113,21,4,정말 감사합니다! 한시름 놓았어요.,-1,-1,-1,-1,-1,-1,46,57
114,21,5,제가 깜빡하고 뭘 부탁드린지 말씀안드렸었나요?,-1,-1,-1,-1,-1,-1,46,57
115,22,1,안녕하십니까. 여기가 보석 세공점 맞습니까?,네 맞습니다.,116,-1,-1,-1,-1,46,58
116,22,1,저희 아버지께서 저에게 부탁을하더군요. 마음이 여린 제 막내 동생을 위한 마지막선물이라고요.,아이고…,117,-1,-1,-1,-1,46,58
117,22,2,에메랄드 귀걸이 부탁드립니다…,네 알겠습니다.,-1,지금 재료가 없습니다.,118,119,120,46,58
118,22,3,시간이 얼마 없습니다만… 아쉽게 됐습니다.,-1,-1,-1,-1,-1,-1,46,58
119,22,4,아버지께서 편안히 가실 수 있을 것 같습니다.,-1,-1,-1,-1,-1,-1,46,58
120,22,5,지금 장난치실 상황입니까? 천벌 받으실 겁니다.,-1,-1,-1,-1,-1,-1,46,58
121,23,1,안녕하신가요. 여기가 보석 세공점이 맞을련지.,네 맞습니다.,122,-1,-1,-1,-1,46,59
122,23,1,"저는 희망 보육원을 운영하는 점장입니다. 
요즘 여러 난재에 부딪혀 생긴 마음의 안정을 기원하고자 가게에 들렀습니다.",아 그렇군요.,123,-1,-1,-1,-1,46,59
123,23,2,에메랄드로 만든 핀을 부탁드릴 수 있을까요?,네 금방 드리겠습니다.,-1,지금 재료가 없습니다.,124,125,126,46,59
124,23,3,역시 무리였군요…감사합니다.,-1,-1,-1,-1,-1,-1,46,59
125,23,4,감사합니다. 이걸로 어떻게든 기운을 내봐야겠습니다.,-1,-1,-1,-1,-1,-1,46,59
126,23,5,죄송합니다만. 제가 원한건 이게 아니었습니다…,-1,-1,-1,-1,-1,-1,46,59
127,24,1,"안녕하십니까. 세공사님.
일개 참전용사 양반입니다만. 세공사님께 부탁이 있어 왔습니다.",무슨 일이십니까?,128,-1,-1,-1,-1,46,60
128,24,1,"저와 함께한 동료가 참전훈장으로 지급된 에메랄드 브로치를 분실했다고 합니다.
그 친구는 괜찮다고 했지만 불안해하긴 마찬가지라서요.",아이고…,129,-1,-1,-1,-1,46,60
129,24,2,이 에메랄드 브로치와 같은 것으로 하나 주문해도 되겠습니까.,네 가능합니다.,-1,지금 재료가 없습니다.,130,131,132,46,60
130,24,3,아쉽지만 다른 곳을 알아봐야겠군요.,-1,-1,-1,-1,-1,-1,46,60
131,24,4,감사합니다! 그 친구도 기뻐할겁니다.,-1,-1,-1,-1,-1,-1,46,60
132,24,5,이게 대체 어디에 쓰는 물건이죠…?,-1,-1,-1,-1,-1,-1,46,60
133,25,1,안녕.,?,134,-1,-1,-1,-1,47,55
134,25,2,나 흑마법사. 흑요석 반지 필요. (조심히 손가락을 가리킨다.),네. 금방 드리겠습니다.,-1,지금 재료가 없습니다.,135,136,137,47,55
135,25,3,쳇.,-1,-1,-1,-1,-1,-1,47,55
136,25,4,감사.,-1,-1,-1,-1,-1,-1,47,55
137,25,5,곤란.,-1,-1,-1,-1,-1,-1,47,55
138,26,1,안녕. 너가 그 유명한 마왕의 전속 세공사?,아뇨 그건 저희 할아버지…,139,-1,-1,-1,-1,47,56
139,26,2,흑요석 목걸이가 필요한데 실력을 믿어도 괜찮겠지?,듣질 않는군.,-1,재료가 없습니다.,140,141,142,47,56
140,26,3,하! 그럴 줄 알았어. 다 헛소문이구만?,-1,-1,-1,-1,-1,-1,47,56
141,26,4,오~ 소문대로 실력이 굉장한데?,-1,-1,-1,-1,-1,-1,47,56
142,26,5,참나. 어이가 없어서 이따위 실력으로 장난을 쳐?,-1,-1,-1,-1,-1,-1,47,56
143,27,1,이봐~ 장사 해?,네 합니다.,144,-1,-1,-1,-1,47,57
144,27,1,이번에 하수인과 계약을 했는데 말이야. 내 마나를 계속 소모하면서까지 못 데리고 다니겠더라고?,아하. 그렇군요.,145,-1,-1,-1,-1,47,57
145,27,2,그래서 흑요석 팔찌에 마나좀 저장하고 편하게 데려다니려 하는데 만들어 줄 수 있어?,네. 잠시만 기다려 주세요.,-1,지금 재료가 없습니다.,146,147,148,47,57
146,27,3,아쉽네. 그럼 다른 가게 알아보도록 할게~,-1,-1,-1,-1,-1,-1,47,57
147,27,4,오~ 고마워. 바로 테스트해봐야지.,-1,-1,-1,-1,-1,-1,47,57
148,27,5,니 눈에는 이게 흑요석 팔찌로 보이나 봐?,-1,-1,-1,-1,-1,-1,47,57
149,28,1,안녕하세요! 혹시 흑마술 관련 장신구도 판매하나요?,네 판매합니다.,150,-1,-1,-1,-1,47,58
150,28,2,"제가 관심있는 흑마술사가 있는데. 마침 흑요석이라는 보석의 존재를 알게되어서요.
들어보니. 암흑마법능력을 올려준다던데. 맞나요? 흑요석 귀걸이 하나 부탁드릴게요.",네 금방 드리겠습니다.,-1,지금 재료가 없습니다.,151,152,153,47,58
151,28,3,아…헛소문이었구나.,-1,-1,-1,-1,-1,-1,47,58
152,28,4,감사해요! 헤헤 좋아하겠지?,-1,-1,-1,-1,-1,-1,47,58
153,28,5,어…이게 흑요석인가요? 아니 애초에 귀걸이인가?,-1,-1,-1,-1,-1,-1,47,58
154,29,1,안녕하세요. 저에게 용기를 가져다 줄 장신구가 필요해요.,어떤…?,155,-1,-1,-1,-1,47,59
155,29,2,"흑요석 핀이요. 여기에 마법을 걸어서 환술에 빠지게 만들거에요.
그럼 이성에게 조금이라도 관심을 받을 수 있겠죠?",네. 가능할거에요.,-1,지금 재료가 없습니다.,-1,157,158,47,59
156,29,3,엥? 매혹 마법이 흑요석과 관련된게 아니었던가?,-1,-1,-1,-1,-1,-1,47,59
157,29,4,아싸~ 빨리 써봐야지.,-1,-1,-1,-1,-1,-1,47,59
158,29,5,어… 제가 요청한게 이게 확실한가요?,-1,-1,-1,-1,-1,-1,47,59
159,30,1,안녕하세요. 여기 세공점은 디자인도 봐주시나요?,네. 가능합니다.,160,-1,-1,-1,-1,47,60
160,30,1,이번에 마왕국 반역자들이 저희와 아주 똑 닮은 브로치를 사용한다 하더라구요.,그렇군요.,161,-1,-1,-1,-1,47,60
161,30,2,흑요석 브로치로 새로운 디자인과 함께 제작해주세요!,네. 해드리겠습니다.,-1,지금 재료가 없습니다.,162,163,164,47,60
162,30,3,내가 직접 만들어야하나…?,-1,-1,-1,-1,-1,-1,47,60
163,30,4,오~ 이전것보다 화려하고. 예쁜데요? 감사합니다!,-1,-1,-1,-1,-1,-1,47,60
164,30,5,(찡그린 표정)오..오오~ 감사합니다~,-1,-1,-1,-1,-1,0,47,60
